,CurveSetCode,BandGapValue
0,0,"{0: 1.73741006, 1: 1.73151063, 2: 1.72567273, 3: 1.71985682, 4: 1.71400496, 5: 1.70819594, 6: 1.70241814, 7: 1.69655738, 15: 1.74349321, 14: 1.74935484, 13: 1.75519315, 12: 1.76101454, 11: 1.7669231, 10: 1.77282053, 9: 1.77868575, 8: 1.78451657}"
1,1,"{0: 1.73968574, 1: 1.73378157, 2: 1.72795623, 3: 1.72201939, 4: 1.71627577, 5: 1.71053545, 6: 1.70460973, 7: 1.69871105, 15: 1.74528174, 14: 1.75122843, 13: 1.75706945, 12: 1.76288171, 11: 1.76877794, 10: 1.77463687, 9: 1.78045812, 8: 1.78636967}"
2,2,"{0: 1.74164272, 1: 1.73623226, 2: 1.73021816, 3: 1.72448406, 4: 1.71869019, 5: 1.71278554, 6: 1.70691253, 7: 1.70099281, 15: 1.7479879, 14: 1.75386252, 13: 1.75977952, 12: 1.76562735, 11: 1.77145184, 10: 1.77733085, 9: 1.78302986, 8: 1.78889176}"
3,3,"{0: 1.74437102, 1: 1.73850676, 2: 1.73275242, 3: 1.72692242, 4: 1.72133055, 5: 1.71512597, 6: 1.70929072, 7: 1.70335796, 15: 1.75031481, 14: 1.75617008, 13: 1.76208589, 12: 1.7679243, 11: 1.77381241, 10: 1.77969239, 9: 1.78556194, 8: 1.79139119}"
4,4,"{0: 1.74716249, 1: 1.74120188, 2: 1.73538098, 3: 1.72949705, 4: 1.72366231, 5: 1.71779195, 6: 1.71190942, 7: 1.70602784, 15: 1.75305552, 14: 1.75889643, 13: 1.76478823, 12: 1.77064562, 11: 1.77654878, 10: 1.78238184, 9: 1.78822802, 8: 1.79416811}"
5,5,"{0: 1.75006449, 1: 1.74421096, 2: 1.73837922, 3: 1.73250837, 4: 1.72660855, 5: 1.7206852, 6: 1.71480673, 7: 1.70886842, 15: 1.75595616, 14: 1.76184936, 13: 1.76774431, 12: 1.77364603, 11: 1.7794829, 10: 1.78535558, 9: 1.79123678, 8: 1.79713857}"
6,6,"{0: 1.75341418, 1: 1.74746048, 2: 1.74156661, 3: 1.73568146, 4: 1.72982315, 5: 1.72393467, 6: 1.7179839, 7: 1.71200802, 15: 1.7592821, 14: 1.76515682, 13: 1.7711276, 12: 1.77700037, 11: 1.7828189, 10: 1.78876179, 9: 1.79467242, 8: 1.80059644}"
7,7,"{0: 1.75704959, 1: 1.75075817, 2: 1.74473608, 3: 1.7393984, 4: 1.73323711, 5: 1.72782488, 6: 1.72159951, 7: 1.71562574, 15: 1.76310411, 14: 1.7689145, 13: 1.77479542, 12: 1.78064202, 11: 1.78658317, 10: 1.79246513, 9: 1.79842924, 8: 1.80438057}"
8,8,"{0: 1.76123945, 1: 1.75531845, 2: 1.749452, 3: 1.7435445, 4: 1.73762267, 5: 1.73166676, 6: 1.7257174, 7: 1.71979189, 15: 1.76726481, 14: 1.77314042, 13: 1.77910682, 12: 1.7849743, 11: 1.79088622, 10: 1.79687453, 9: 1.80271667, 8: 1.80866655}"
9,9,"{0: 1.76609385, 1: 1.76012832, 2: 1.75414647, 3: 1.74817536, 4: 1.74231586, 5: 1.73641398, 6: 1.73046862, 7: 1.72445541, 15: 1.77199471, 14: 1.7779313, 13: 1.7838727, 12: 1.78977604, 11: 1.79565888, 10: 1.80162388, 9: 1.80752428, 8: 1.81353671}"
10,10,"{0: 1.77155747, 1: 1.76563796, 2: 1.75971429, 3: 1.7538072, 4: 1.74778404, 5: 1.74179545, 6: 1.73583487, 7: 1.72986429, 15: 1.77754636, 14: 1.78347517, 13: 1.78943052, 12: 1.79533703, 11: 1.8013904, 10: 1.80735553, 9: 1.81335817, 8: 1.81922048}"
11,11,"{0: 1.77800965, 1: 1.77204574, 2: 1.76619935, 3: 1.75988061, 4: 1.75380537, 5: 1.74794578, 6: 1.74248667, 7: 1.73643372, 15: 1.78383042, 14: 1.78963008, 13: 1.79601704, 12: 1.8021169, 11: 1.80775239, 10: 1.8137184, 9: 1.81974316, 8: 1.82573596}"
12,12,"{0: 1.78551215, 1: 1.77952794, 2: 1.77357618, 3: 1.76760826, 4: 1.76157562, 5: 1.75561216, 6: 1.74949256, 7: 1.74354171, 15: 1.79161205, 14: 1.79760853, 13: 1.80357932, 12: 1.80959956, 11: 1.81559751, 10: 1.82158994, 9: 1.8275324, 8: 1.83352443}"
13,13,"{0: 1.79457238, 1: 1.78854306, 2: 1.78254088, 3: 1.77648021, 4: 1.77046864, 5: 1.76445323, 6: 1.75843381, 7: 1.75230904, 15: 1.80056912, 14: 1.80660888, 13: 1.81261483, 12: 1.81862433, 11: 1.82470099, 10: 1.83071818, 9: 1.83677885, 8: 1.84278175}"
14,14,"{0: 1.80569675, 1: 1.79962417, 2: 1.79351994, 3: 1.78747995, 4: 1.78141335, 5: 1.77539003, 6: 1.76928011, 7: 1.76320832, 15: 1.81173621, 14: 1.81780744, 13: 1.8238774, 12: 1.82985837, 11: 1.83591979, 10: 1.8420366, 9: 1.84809239, 8: 1.85412248}"
15,15,"{0: 1.81948633, 1: 1.81334817, 2: 1.80724602, 3: 1.80112202, 4: 1.795091, 5: 1.78897343, 6: 1.78283679, 7: 1.77674434, 15: 1.82562236, 14: 1.83169303, 13: 1.8378201, 12: 1.84389655, 11: 1.85006, 10: 1.85615895, 9: 1.86230698, 8: 1.8683735}"
